# People data for seating arrangement
# Format: Name Age Gender "Preferences" "Conflicts"

John 25 M "front,window" "Sarah"
Sarah 23 F "back,aisle" "John"
Mike 30 M "middle" "none"
Lisa 28 F "window" "none"
David 35 M "front" "Emma"
Emma 26 F "aisle" "David"
Tom 22 M "back" "none"
Anna 29 F "window,front" "none"
Paul 31 M "middle" "none"
Kate 24 F "aisle" "none"
James 27 M "front" "none"
Mary 32 F "back,window" "none"
Frank 33 M "middle" "none"
Alice 25 F "aisle" "none"
Bob 28 M "front" "none"
Carol 26 F "window" "none" 
